ZoneName,areaBuilt,bathrooms,businessType,cityID,companyId,companyName,garages,latitude,longitude,propType,propID,propertyState,rentPrice,rentTotalPrice,rooms,salePrice,sectorName,stratum,zoneID,floor,numPictures,propAddress,timeMarket
Suroriente,100,2,venta,3,3003,MONOPOLIO INMOBILIARIO,0,6.194187,-75.57831,Casa,2895-1612710,Usado,0,0,3,145000000,Suroriente,3,38,-1,-1,-1,1
Suroriente,100,3,venta,3,-1,-1,1,6.206017,-75.56101,Casa,MC2708977,Usado,-1,0,3,400000000,Suroriente,4,38,-1,-1,-1,1
Suroriente,100,3,venta,3,-1,-1,1,6.2072062,-75.55879,Casa,MC2708978,Usado,-1,0,3,400000000,Suroriente,4,38,-1,-1,-1,1
Suroriente,102,3,venta,3,-1,-1,1,6.2075114,-75.55909,Casa,MC2727176,Usado,-1,0,3,385000000,Suroriente,4,38,-1,-1,-1,1
Suroriente,102,3,venta,3,3003,MONOPOLIO INMOBILIARIO,2,6.212027,-75.57082,Casa,2895-M2190291,Usado,0,0,4,295000000,Suroriente,4,38,-1,-1,-1,1
Suroriente,103,3,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.214164,-75.571915,Casa,2895-1192955,Usado,0,0,4,215000000,Suroriente,4,38,-1,-1,-1,1
Suroriente,104,2,venta,3,3003,MONOPOLIO INMOBILIARIO,0,6.2140536,-75.5721,Casa,2895-M2361578,Usado,0,0,3,145000000,Suroriente,3,38,-1,-1,-1,1
Suroriente,105,3,Venta y Arriendo,3,2669,PROINTEGRAL SA,2,6.2241936,-75.56638,Casa,687-M2242340,Usado,2150000,2150000,3,390000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,110,2,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.212178,-75.57176,Casa,2895-M2300972,Usado,0,0,3,450000000,Suroriente,4,38,-1,-1,-1,1
Suroriente,110,2,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.2123036,-75.57028,Casa,2895-M2046064,Usado,0,0,4,220000000,Suroriente,4,38,-1,-1,-1,1
Suroriente,110,2,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.2143126,-75.57182,Casa,2895-M2190328,Usado,0,0,3,320000000,Suroriente,4,38,-1,-1,-1,1
Suroriente,112,3,venta,3,5362,HAUSSAI,2,6.2261167,-75.56903,Casa,11451-3390213,Usado,-1,0,3,390000000,Suroriente,5,38,-1,-1,-1,1
Suroriente,112,4,venta,3,3003,MONOPOLIO INMOBILIARIO,2,6.201077,-75.56485,Casa,2895-1367085,Usado,0,0,5,850000000,Suroriente,6,38,-1,-1,-1,1
Suroriente,116,1,venta,3,3003,MONOPOLIO INMOBILIARIO,0,6.2128983,-75.57232,Casa,2895-M2356088,Usado,0,0,4,145000000,Suroriente,3,38,-1,-1,-1,1
Suroriente,116,3,venta,3,2669,PROINTEGRAL SA,2,6.2247386,-75.56589,Casa,687-M2459582,Usado,0,0,3,400000000,Suroriente,5,38,-1,-1,-1,2
Suroriente,116.17,2,venta,3,3640,ALBERTO ALVAREZ,1,6.1983385,-75.56758,Casa,4673-30684,Usado,-1,0,3,450000000,Suroriente,5,38,-1,-1,-1,1
Suroriente,117,4,venta,3,2669,PROINTEGRAL SA,1,6.2023478,-75.57189,Casa,687-M1938011,Usado,0,0,4,330000000,Suroriente,5,38,-1,-1,-1,2
Suroriente,118,3,venta,3,3664,Abad Faciolince  S.A,2,6.1903214,-75.56838,Casa,5136-25131,Usado,-1,0,3,850000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,120,2,venta,3,3003,MONOPOLIO INMOBILIARIO,0,6.2120605,-75.57151,Casa,2895-M2343383,Usado,0,0,3,250000000,Suroriente,3,38,-1,-1,-1,1
Suroriente,120,2,venta,3,3003,MONOPOLIO INMOBILIARIO,0,6.214529,-75.57102,Casa,2895-M2194017,Usado,0,0,3,161000000,Suroriente,3,38,-1,-1,-1,1
Suroriente,120,2,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.21314,-75.57237,Casa,2895-M2358628,Usado,0,0,3,215000000,Suroriente,3,38,-1,-1,-1,1
Suroriente,120,3,venta,3,3003,MONOPOLIO INMOBILIARIO,0,6.212996,-75.57235,Casa,2895-M2155980,Usado,0,0,3,160000000,Suroriente,3,38,-1,-1,-1,1
Suroriente,123,5,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.1936183,-75.55889,Casa,2895-2027301,Usado,-1,0,4,1800000000,Suroriente,0,38,-1,-1,-1,1
Suroriente,130,3,venta,3,3003,MONOPOLIO INMOBILIARIO,0,6.2106724,-75.5743,Casa,2895-2389209,Usado,-1,0,3,220000000,Suroriente,6,38,-1,-1,-1,1
Suroriente,130,3,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.212038,-75.57078,Casa,2895-M2360542,Usado,0,0,3,275000000,Suroriente,3,38,-1,-1,-1,1
Suroriente,135,3,venta,3,2669,PROINTEGRAL SA,2,6.1831737,-75.5626,Casa,687-M2230689,Usado,0,0,3,700000000,Suroriente,5,38,-1,-1,-1,2
Suroriente,136,3,Venta y Arriendo,3,2669,PROINTEGRAL SA,2,6.2033024,-75.56075,Casa,687-M2759642,Usado,3500000,3500000,2,700000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,136,4,Venta y Arriendo,3,2669,PROINTEGRAL SA,1,6.1999025,-75.56626,Casa,687-M2114384,Usado,3200000,3200000,3,470000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,137,2,venta,3,3003,MONOPOLIO INMOBILIARIO,0,6.212641,-75.57221,Casa,2895-M2164431,Usado,0,0,4,215000000,Suroriente,3,38,-1,-1,-1,1
Suroriente,140,2,venta,3,3003,MONOPOLIO INMOBILIARIO,0,6.214431,-75.57061,Casa,2895-M2156017,Usado,0,0,5,160000000,Suroriente,3,38,-1,-1,-1,1
Suroriente,140,3,venta,3,2669,PROINTEGRAL SA,2,6.1998224,-75.576485,Casa,687-M2340653,Usado,0,0,3,710000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,140,3,venta,3,3003,MONOPOLIO INMOBILIARIO,0,6.214331,-75.57042,Casa,2895-M2137549,Usado,0,0,3,600000000,Suroriente,5,38,-1,-1,-1,1
Suroriente,140,4,Venta y Arriendo,3,2669,PROINTEGRAL SA,2,6.2177844,-75.56602,Casa,687-M2586887,Usado,3600000,3600000,3,660000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,140,4,venta,3,2669,PROINTEGRAL SA,2,6.216321,-75.56724,Casa,687-M2404600,Usado,0,0,3,530000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,140,4,venta,3,3003,MONOPOLIO INMOBILIARIO,0,6.2122474,-75.57035,Casa,2895-M2160484,Usado,0,0,2,115000000,Suroriente,2,38,-1,-1,-1,1
Suroriente,140,4,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.216902,-75.56592,Casa,2895-1505350,Usado,-1,0,4,560000000,Suroriente,6,38,-1,-1,-1,1
Suroriente,140,4,venta,3,3477,Arrendamientos Merino Hermanos y Cia Ltda,2,6.201573,-75.56501,Casa,5076-191635,Usado,0,0,4,750000000,Suroriente,6,38,-1,-1,-1,1
Suroriente,145,3,venta,3,3003,MONOPOLIO INMOBILIARIO,0,6.2132072,-75.56984,Casa,2895-M2360608,Usado,0,0,3,215000000,Suroriente,3,38,-1,-1,-1,1
Suroriente,147,4,venta,3,3003,MONOPOLIO INMOBILIARIO,4,6.184101,-75.570595,Casa,2895-1294539,Usado,-1,0,3,500000000,Suroriente,6,38,-1,-1,-1,1
Suroriente,150,2,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.212027,-75.57082,Casa,2895-M2331176,Usado,0,0,3,400000000,Suroriente,4,38,-1,-1,-1,1
Suroriente,150,3,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.2132072,-75.57237,Casa,2895-M2288398,Usado,0,0,4,390000000,Suroriente,4,38,-1,-1,-1,1
Suroriente,150,4,Venta y Arriendo,3,2669,PROINTEGRAL SA,2,6.2165914,-75.56982,Casa,687-M2253046,Usado,3100000,3100000,3,600000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,150,4,Venta y Arriendo,3,2669,PROINTEGRAL SA,2,6.2173433,-75.5677,Casa,687-M2253063,Usado,3300000,3300000,4,585000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,150,4,venta,3,2983,ACRECER SAS,0,6.209439,-75.55636,Casa,2264-37725,Usado,-1,0,4,895000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,151,3,venta,3,3260,Arrendamientos y Avaluos Umbral,2,6.183305,-75.565155,Casa,3221-7923,Usado,-1,0,3,700000000,Suroriente,5,38,-1,-1,-1,2
Suroriente,154,3,venta,3,2669,PROINTEGRAL SA,2,6.1943536,-75.56298,Casa,687-M2353514,Usado,0,0,4,700000000,Suroriente,6,38,-1,-1,-1,2
Suroriente,154,3,venta,3,3003,MONOPOLIO INMOBILIARIO,1,6.2139153,-75.5722,Casa,2895-M2336449,Usado,0,0,3,450000000,Suroriente,4,38,-1,-1,-1,1
Suroriente,154,3,venta,3,5350,INTERCAMBIO INMOBILIARIO,2,6.181194,-75.566154,Casa,11410-104,Usado,-1,0,3,650000000,Suroriente,6,38,-1,-1,-1,1
Suroriente,154.35,1,venta,3,3497,URIVENTAS S.A.S,0,6.213682,-75.56986,Casa,4855-7770,Usado,0,0,4,1100000000,Suroriente,4,38,-1,-1,-1,2
Suroriente,155,3,venta,3,2669,PROINTEGRAL SA,2,6.185537,-75.5649,Casa,687-M2625398,Usado,0,0,3,580000000,Suroriente,6,38,-1,-1,-1,2
