;url;city;rooms;restrooms;stratum;agent;property_code_Metro2;neighborhood_common;neighborhood_official;price;parking_places;age;area_built;area_private;admin_price;description
37;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-velodromo-3-habitaciones-2-banos/2364-D15734;Medellín;3;2;4.0;SANTA MARIA Y ASOCIADOS;2364-D15734;Florida Nueva;EL VELODROMO;400000000;0;Entre 0 y 5 años;86.0;106.0;;Casa en venta ubicada en Medellin sector Florida Nueva.
38;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-san-lucas-4-habitaciones-5-banos-4-garajes/687-M2734787;Medellín;4;5;6.0;PROINTEGRAL SA;687-M2734787;LOS BALSOS;SAN LUCAS;2600000000;4;Entre 10 y 20 años;600.0;600.0;1100000.0;Casa en unidad cerrada en la parte alta de los Balsos y con fácil acceso al colegio Manzanares, entorno muy tranquilo y campestre. de poco flujo vehicular y transito de solo residentes. Piso en mármol, dos niveles, puerta de seguridad, hall de acceso,...
39;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-belen-de-la-mota-3-habitaciones-2-banos-1-garajes/11583-M2686949;Medellín;3;2;4.0;CASA ABIERTA INMOBILIARIA;11583-M2686949;BELEN DE LA MOTA;BELEN DE LA MOTA;350000000;1;Entre 10 y 20 años;85.0;85.0;;Buscas un sector tranquilo en una unidad completa, donde encuentras tranquilidad, paz y armonía, te queremos ofrecer esta gran opción para que disfrutes de un bonito inmueble con excelentes acabados, seguridad las 24 horas, podrás encontrar facilidad ...
40;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-santa-teresita-3-habitaciones-3-banos-1-garajes/4855-9431;Medellín;3;3;5.0;URIVENTAS S.A.S;4855-9431;Almeria;SANTA TERESITA;700000000;1;Más de 20 años;147.0;147.0;;Casa unifamiliar, frente 9.47 x fondo 15 metros. Dos niveles,  sala, comedor, tres alcobas, alcoba del servicio con baño, patio, cocina semi integral, garaje,  tres salones biblioteca, antejardín
41;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-san-miguel-3-habitaciones-2-banos/4673-29999;Medellín;3;2;4.0;ALBERTO ALVAREZ;4673-29999;Prado;SAN MIGUEL;260000000;0;Entre 10 y 20 años;107.47;107.47;;Casa clasica remodelada en primer piso en el tradicional barrio Prado, a cinco cuadras de la Avenida Oriental, lo cual asegura un facil acceso, una rapida movilidad y una excelente facilidad de transporte publico. Su estrategica ubicacion en Moore con...
42;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-los-naranjos-1-habitaciones/4534-2434;Medellín;1;6;;GUSTAVO MURILLO ANGEL;4534-2434;Poblado;LOS NARANJOS;4600000000;0;Entre 5 y 10 años;439.0;2015.0;;COD INMOBILIARIA CA 960 Poblado    2015 MTRS LOTE,  casa 439 mtrs, 2 sala, 2 comedor, 3 alcobas con baño y vestier, biblioteca, cocina integral, cuarto aseo, util, garaje 4 carros, piscina nueva con calefacción. Canchas futbol, deck madera, parque inf...
43;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-san-lucas-3-habitaciones-4-banos-2-garajes/10280-V148836;Medellín;3;4;2.0;DUQUE GIRALDO Y CIA;10280-V148836;SAN LUCAS;SAN LUCAS;930000000;0;Entre 0 y 5 años;171.0;171.0;;Te ofrecemos esta amplia y moderna casa ubicada en el sector de San Lucas,hacia el lado de Envigado,cerca al Montessori, consta de dos niveles,sala de televisión,tres habitaciones cada una con baño privado,cocina integral abierta,sala comedor,dos gara...
44;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-ferreni-4-habitaciones-3-banos-2-garajes/2895-1331625;Medellín;4;3;4.0;MONOPOLIO INMOBILIARIO;2895-1331625;FERRENI;FERRENI;375000000;2;Entre 10 y 20 años;120.0;120.0;;COD.15399    Cómoda casa unifamiliar en venta, con un área de 120 metros aproximadamente por confirmar sobre escrituras, sector Calasanz, 1  piso, estrato 4 en Unidad Cerrada. Sus tres niveles nos ofrecen zona social de sala comedor, cuatro alcobas, u...
45;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-san-bernardo-5-habitaciones-4-banos/2895-1276937;Medellín;5;4;3.0;MONOPOLIO INMOBILIARIO;2895-1276937;SAN BERNARDO;SAN BERNARDO;320000000;0;Entre 10 y 20 años;157.0;157.0;;COD.15074    Casa bifamiliar en venta, con un área de 157  metros aproximadamente por confirmar sobre escrituras, sector San Bernardo en Belén, 5  piso, estrato 3 en edificio. Aquí tenemos dos apartamentos independientes sin desenglobar, en cada uno e...
46;https://www.metrocuadrado.com/inmueble/venta-casa-medellin-santa-teresita-4-habitaciones-3-banos-1-garajes/12154-2314492;Medellín;4;3;5.0;Laurel Group Inmobiliaria;12154-2314492;SIMON BOLIVAR;SANTA TERESITA;490000000;1;Más de 20 años;220.0;200.0;;Amplia Casa para la venta en Simón Bolivar cercana a Avenida a la  80, Calle 35, Éxito de Laureles, Centro Comercial Los Molinos, Colegio Corazonista y Universidad Adventista.  1er piso de 220 m2, apta para vivienda u oficinas, cuenta con 4  habitacio...
