ZoneName,adminPrice,amenitiesCommonZones,amenitiesExteriors,amenitiesInteriors,ammenitiesSector,areaBuilt,bathrooms,builtTime,businessType,cityID,cityName,comment,commonNeighborhood,companyAddress,companyId,companyName,contactPhone,floor,garages,latitude,longitude,neighborhood,numPictures,propAddress,propID,propType,propertyState,publicationStatus,rentPrice,rentTotalPrice,rooms,salePrice,sectorName,stratum,zoneID
,0,,Garaje Cubierto,"Bano de Servicio, Closet, Cocina Integral, Cuarto de Servicio, Instalacion de gas, Patio, Zona de lavanderia",,231.0,3,,Venta,5500006,Medellin,APARTAMENTO CONFORTABLE EN EL SECTOR DE LAURELES CON UNA AREA APROXIMADA DE 230 MTS 2.,,,29193,Arrendamientos Villacruz,,1,,0,0,,11,CQ 72 37 33 PISO 1,3658621,Casa,Used,,,,4,900000000,,5,0
NorOriente,0,,,,,120.0,2,Mas de 30 anos,Venta,5500006,Medellin,"VENTA CASA LOTE EN MANRIQUE CENTRAL,  PROPIEDAD RAIZ,  CON 3 ALCOBAS,  SALON COMEDOR,  COCINA SENCILLA,  PATIO,  PISO EN BALDOSA,  2 BANOS,  ESTRATO 3,  AREA CONSTRUIDA 120 METROS Y AREA LOTE 23.5 METROS..",Manrique,,416189,Arrendamientos Alnago,,1,,6.26517009735107,-75.5553588867188,Manrique,13,CALLE 67  48-18,3393717,Casa,Used,,,,3,220000000,,3,5500103
NorOriente,0,,,,,109.0,2,,Venta,5500006,Medellin,"VENTA DE CASA EN LA MILAGROSA $280.000.000. 4 ALCOBAS,  SALA,  COMEDOR,  2 CLOSET,  COCINA SEMI INTEGRAL,  ALCOBA DE SERVICIO,  PATIO TECHADO,  RE DE GAS,  2 BANOS,  PISO EN BALDOSA,  PARQUEADERO.  AREA 109 MT2 ESTRATO 3..",La Milagrosa,,416189,Arrendamientos Alnago,,,,6.23362493515015,-75.5549468994141,La Milagrosa,0,CRA 28  40-23,4284627,Casa,Used,,,,4,280000000,,3,5500103
Centro,0,,,"Balcon, Instalacion de gas, Patio","Colegios / Universidades, Trans. Publico cercano",192.0,2,Mas de 30 anos,Venta,5500006,Medellin,"Casa en segundo piso sobre Girardot,  cerca del colegio Maria Auxiliadora. Iluminada,  ventilada; tiene sala de TV y 2 patios. Predial 180 mil.",,,883629,Claudia Toro,,2,,6.25471019744873,-75.5584411621094,,23,carrera 43 60,4281617,Casa,Used,,,,5,300000000,,4,5500101
SurOriente,0,,"Ascensor, Cancha de Tennis, Canchas Deportivas, Circuito cerrado de TV, En conjunto cerrado, Garaje(s), Gimnasio, Jardin, Jaula de Golf, Oficina de negocios, Parqueadero Visitantes, Piscina, Sala de internet, Salon Comunal, Terraza, Vigilancia, Vista panoramica, Vivienda Bifamiliar, Vivienda Multifamiliar, Zonas Verdes","Aire Acondicionado, Alarma, Amoblado, Balcon, Bano Auxiliar, Calentador, Chimenea, Citofono, Cocina Integral, Cocina tipo Americano, Comedor auxiliar, Cuarto de conductores, Cuarto de Servicio, Deposito / Bodega, Despensa, Estudio, Hall de Alcobas, Instalacion de gas, Patio, Piso en Baldosa /  Marmol, Zona de lavanderia","Colegios / Universidades, Parques cercanos, Sobre via principal, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Campestre, Zona Comercial, Zona Residencial",1000.0,6,1 a 8 anos,Venta,5500006,Medellin,Casa en el poblado con licencia para construir 1300mt2 de vivienda y 200 mt2 de comercio sin limite de altura..,Alejandria,,109092,Gestores Inmobiliarios Asociados,,1,6,6.1988000869751,-75.5690078735352,Alejandria,9,alejandria,4279139,Casa,Used,,,,6,3000000000,,6,5500102
Centro,0,,Ascensor,"Balcon, Cocina Integral, Instalacion de gas, Piso en Baldosa /  Marmol","Colegios / Universidades, Trans. Publico cercano",271.0,2,,Venta,5500006,Medellin,Venta de casa en el sector Prado Centro    Pedido 600 millones para negociar     2 Closet 3 Alcoba 2 Banos   Sala  Comedor  Cocina Integral   Balcon Grande   garaje doble   fuente de agua  Area lote 336.82 mts 2  3 patios Ascensor interno para persona discapacitada..,,,108422,La Provenza Inmobiliaria,,,2,0,0,,25,Prado Centro,4279116,Casa,Used,,,,3,600000000,,4,5500101
,0,,,"Bano de Servicio, Closet, Cocina Integral, Comedor, Cuarto de Servicio, Instalacion de gas, Patio, Zona de lavanderia",,240.0,2,,Venta,5500006,Medellin,..,,,29193,Arrendamientos Villacruz,,2,,0,0,,5,CR 87 B 45 B 31,4271422,Casa,Used,,,,5,350000000,,4,0
Occidente,0,,,,,270.0,3,9 a 15 anos,Venta,5500006,Medellin,"VENTA CASA EN LA CASTELLANA,  SEGUNDO PISO,  PROPIEDAD HORIZONTAL,  CUENTA CON 4 ALCOBAS,  SALA,  COMEDOR,  SALA DE TV,  SALA DE STAR,  5 CLOSET,  1 VESTIER,  BIBLIOTECA,  COCINA INTEGRAL,  3 PATIOS,  RED DE GAS,  CALENTADOR A GAS,  CITOFONO,  PISO EN BALDOSA Y TABLILLA,  VENTANAL,  3 BANOS,  2 CUARTO UTIL,  ESTRATO 6,  AREA 270 METROS.",La Castellana,,416189,Arrendamientos Alnago,,2,,6.23920917510986,-75.6061782836914,La Castellana,11,KRA 83  33-75,3392010,Casa,Used,,,,4,650000000,,6,5500106
NorOriente,0,,,,,72.0,1,16 a 30 anos,Venta,5500006,Medellin,INTERIOR TERMINADO TOTALMENTE COCINA INTEGRAL Y COSES NUEVOS FUTURO GARAJE ,Aranjuez,,1056817,jaime ossa,,1,,0,0,Aranjuez,0,carrera 53 a calle 92 a,4230473,Casa,Used,,,,3,160000000,,2,5500103
,1,,"Garaje(s), Terraza","Balcon, Cuarto de Servicio, Patio, Zona de lavanderia",,90.0,2,,Venta,5500006,Medellin,. COD: 21979.,,,424324,Bancasa,,,,0,0,,12,CALASANZ  ,3290820,Casa,Used,,,,3,435000000,,5,0
NorOriente,0,,"En conjunto cerrado, Jardin, Parqueadero Visitantes, Terraza, Zona Infantil, Zonas Verdes","Closet, Cocina Integral, Comedor auxiliar, Cuarto de Servicio, Estudio, Patio","Colegios / Universidades, Comodas vias de acceso, Trans. Publico cercano, Zona Residencial",274.0,5,16 a 30 anos,Venta,5500006,Medellin,"Excelente Casa a la venta ,  ubicada en la Urbanizacion la Primera,  barrio san Lucas,  cuenta con 3 Habitaciones,  Cuarto de servicio, 5 banos,  Cuarto de ropas, sala,  Comedor,  Cocina,  estudio,  terraza,  2 parqueaderos.  Urbanizacion con salon social y parque infantil. Venta: 699.000.000.",,,307898,Ilan Inmobiliaria,,,2,6.2020001411438,-75.5660018920898,,27,Carrera 35 # 16 A - 194,4208871,Casa,Used,,,,3,699000000,,6,5500103
NorOccidente,160000,,,,,150.0,3,16 a 30 anos,Venta,5500006,Medellin,"VENTA CASA CALASANZ,  $400.000.000,  5 ALCOBAS,  3 CLOSET , SALON COMEDOR,  COCINA INTEGRAL,  PATIO,  RED DE GAS,  ,  PISO EN CERAMICA,  VENTANAL,  PORTERIA 24 HORAS,  3 BANOS,  ASCENSOR,  JUEGOS INFANTILES, PARQUEADERO,  ESTRATO 4,  150M..",Calasanz,,416189,Arrendamientos Alnago,,1,,6.26862812042236,-75.5979690551758,Calasanz,13,CALLE 54  81B-26,3517510,Casa,Used,,,,5,400000000,,4,5500104
Centro,0,,,,,368.0,2,16 a 30 anos,Venta,5500006,Medellin,"VENTA CASA EN EL CENTRO SECTOR DE SAN BENITO,  $960.000.000,  PROPIEDAD RAIZ,  10 HABITACIONES,  SALA,  COMEDOR,  HALL,  COCINA INTEGRAL,  3 PATIOS,  PARQUEADERO DOBLE,  PISO EN BALDOSA,  BALCON,  CUARTO UTIL,  3 SANITARIOS 2 DUCHAS,  ESTRATO 3,  PRIMER PISO 192M,  SEGUNDO PISO 176M.",Centro,,416189,Arrendamientos Alnago,,1,1,6.25332689285278,-75.5724868774414,Centro,10,KRA 56  51-73,3578979,Casa,Used,,,,10,960000000,,3,5500101
NorOccidente,0,,,,,110.0,2,9 a 15 anos,Venta,5500006,Medellin,"VENTA CASA BARRIO GIRARDOT,  $240.000.000,  3 HABITACIONES,  SALONCOMEDOR,  2 CLOSET,  BIBLIOTECA,  INTEGRAL,  ZONA DE ROPAS,  RED DE GAS,  CALENTADOR A GAS,  2 BANOS,  PISO EN CERAMICA,  BALCON,  ESTRATO 3,  110M..",Girardot,,416189,Arrendamientos Alnago,,2,,6.29828453063965,-75.5668106079102,Girardot,10,KRA 65  103D-16,3594166,Casa,Used,,,,3,240000000,,3,5500104
SurOriente,0,,,"Alarma, Balcon, Bano Auxiliar, Calentador, Chimenea, Cocina Integral, Comedor auxiliar, Cuarto de conductores, Cuarto de Servicio, Deposito / Bodega, Despensa, Estudio, Hall de Alcobas, Instalacion de gas, Patio, Zona de lavanderia","Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Publico cercano, Zona Campestre, Zona Residencial",1050.0,4,16 a 30 anos,Venta,5500006,Medellin,"Espectacular casa independiente con diseno al estilo villa italiana,  amplios y acogedores espacios ,  2 niveles ,  dispone de 3 salas,  comedor y comedor auxiliar,  3 alcobas ,  la principal de 100 m2 con estudio integrado , jardin,  terraza,  piscina privada,  jacuzzi. garaje cubierto y parqueadero para 8 carros. Excelente ubicacion cerca a Provenza..",El Poblado,,631660,T-UBI.CO Real Estate,,1,8,6.20862102508545,-75.5598297119141,El Poblado,10,carrera 30a  9  49,4549783,Casa,Used,,,,3,3200000000,,6,5500102
Centro,0,,,,,138.0,2,,Venta,5500006,Medellin,"4 ALCOBAS,  SALA,  COMEDOR,  4 CLOSET,  COCINA INTEGRAL,  ALCOBA DE SERVICIO,  PATIO,  RED DE GAS,  2 BANOS,  PISO BALDOSA,  TERRAZA.  AREA 138 MT2 ESTRATO 3.",El Salvador,,416189,Arrendamientos Alnago,,,,6.23732423782349,-75.5618515014648,El Salvador,0,cra 36a  39-62,4548038,Casa,Used,,,,4,210000000,,3,5500101
NorOriente,0,,,,,80.0,2,,Venta,5500006,Medellin,"VENTA CASA EN VILLA HERMOSA  $220.000.000, PROPIEDAD HORIZONTAL,  2 PISOS. 1degPISO: 4 ALCOBAS,  SALA COMEDOR,  COCINA SENCILLA,  GARAJE,  RED DE GAS,  1 BANO,  4 CLOSET,  PISO EN BALDOSA,  ZONA ROPAS. 2degPISO: 3 ALCOBAS,  SALA COMEDOR,  PATIO,  1 BANO,  COCINA SENCILLA,  ZONA DE ROPAS,  PISO EN BALDOSA..",Villa Hermosa,,416189,Arrendamientos Alnago,,,,0,0,Villa Hermosa,0,CALLE 65BB  35-29,4545377,Casa,Used,,,,7,220000000,,3,5500103
,0,,"Garaje(s), Terraza","Balcon, Cuarto de Servicio, Patio, Zona de lavanderia",,350.0,6,,Venta,5500006,Medellin,. COD: 22805.,,,424324,Bancasa,,,,0,0,,15,BELEN  ,3572585,Casa,Used,,,,7,1200000000,,3,0
SurOriente,1200000,,"En conjunto cerrado, Garaje / Parqueadero(s), Garaje Cubierto, Garaje(s), Parqueadero Visitantes, Terraza, Vigilancia 24x7, Zonas Verdes","Balcon, Bano Independiente, Citofono, Closet, Cocina Integral, Comedor, Cuarto de Servicio, Deposito / Bodega, Estudio, Instalacion de gas, Piso en Madera, Zona de lavanderia",Zona Residencial,572.0,5,9 a 15 anos,Venta,5500006,Medellin,"622-4714 Casa en venta ubicada en El Poblado sector San Lucas.La propiedad cuenta con varias habitaciones para la comodidad de toda la familia e invitados. La terraza es ideal para tomar banos de sol,  realizar actividades al aire libre,  tener plantas o mascotas.Cuenta con parqueaderos privados para guardar los vehiculos de forma segura y comoda.El cuarto util permiten almacenar elementos por fuera de la casa para mantener el orden sin tener que prescindir de estos elementos.Con porteria vigilada puedes dormir o salir de viaje con tranquilidad y sin preocupaciones..",,,29288,SANTAMARIA Y ASOCIADOS,,,2,6.18361759185791,-75.5696334838867,,20,SAN LUCAS CALLE 18AA  29E  170 ,2907713,Casa,Used,,,,4,1600000000,,6,5500102
SurOriente,1243000,,,"Bano de Servicio, Cuarto de Servicio",,490.0,5,16 a 30 anos,Venta,5500006,Medellin,"Venta de casa en la superior,  unidad exclusiva,  4 habitaciones todas con bano,  dos salones ,  biblioteca,  terraza y jardin.lote de 970 metros y construidos 490.garaje para dos carros,  cuarto util.CITA PREVIA..",El Poblado,,28842,Sor Angela Morales,,1,2,0,0,El Poblado,18,BALSOS SUPERIOR,2732283,Casa,Used,,,,4,1700000000,,6,5500102
NorOccidente,0,,,,,197.0,5,16 a 30 anos,Venta,5500006,Medellin,"VENTA CASA EN ALMERIA 4 HABITACIONES,  $500.000.000,  TERCER PISO,  SALA,  COMEDOR,  2 CLOSET,  2 VESTIER,  BIBLIOTECA,  COCINA INTEGRAL,  ALCOBA DEL SERVICIO,  ZONA DE ROPAS,  RED DE GAS,  CALENTADOR A GAS,  PISO EN CERAMICA,  VENTANAL, 5 BANOS,  GARAJE,  ESTRATO 5,  197M..",,,416189,Arrendamientos Alnago,,3,1,0,0,,15,KRA 87B  35A-13,3602164,Casa,Used,,,,4,500000000,,5,5500104
